X;Y;NOMBRE;DOMICILIO;IMAGEN;AUTOMAT;OBSERV;NRO_EST;HORARIO;DIRE_NORM
-58.366755289408388;-34.6180669522061;FACULTAD DE INGENIERIA;ESTADOS UNIDOS ENTRE AZOPARDO Y HUERGO AV;ESTACION_AUTOMATICA.PNG;AUTOMATICA;feb-17;164;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ESTADOS UNIDOS Y AZOPARDO
-58.378106637225464;-34.60371877813963;ESMERALDA Y CORRIENTES;ESMERALDA Y AV CORRIENTES;ESTACION_AUTOMATICA.PNG;AUTOMATICA;feb-17;175;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ESMERALDA Y CORRIENTES AV
-58.400962310906124;-34.633977626369685;15 DE NOVIEMBRE;15 DE NOVIEMBRE DE 1889 2687 ENTRE CATAMARCA Y JUJUY;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;105;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2687 15 DE NOVIEMBRE DE 1889
-58.421704605278322;-34.598222181564289;ACUÑA DE FIGUEROA;LAVALLE Y ACUÑA DE FIGUEROA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;54;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;LAVALLE Y ACUÑA DE FIGUEROA FRANCISCO
-58.436771151449832;-34.592706718923402;CASTILLO;CASTILLO 815 ENTRE THAMES Y SERRANO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;100;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;815 CASTILLO
-58.415459396243016;-34.601760602894636;GUARDIA VIEJA;GUARDIA VIEJA 3606 ENTRE BILLINGHURST Y MARIO BRAVO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;110;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3606 GUARDIA VIEJA
-58.420407437122307;-34.591624459027585;COSTA RICA;COSTA RICA 4090 Y ACUÑA DE FIGUEROA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;122;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;4090 COSTA RICA
-58.429590682289927;-34.596693744777248;LERMA;LERMA 185 Y JULIAN ALVAREZ;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;109;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;185 LERMA
-58.399368569690957;-34.58711720679419;GUTIERREZ;JUAN MARIA GUTIERREZ ENTRE AGUERO Y LAPRIDA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;90;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;GUTIERREZ JUAN MARIA Y AGUERO
-58.405790412466239;-34.601779712818626;PUEYRREDON;BOULOGNE SUR MER Y TUCUMAN;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;144;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BOULOGNE SUR MER Y TUCUMAN
-58.425204657649779;-34.585669444318206;GUATEMALA;GUATEMALA 4799 ENTRE J.L. BORGES Y GURRUCHAGA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;113;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;4799 GUATEMALA
-58.434954874725676;-34.600164664861133;VELASCO;VELASCO 285 ENTRE JULIAN ALVAREZ Y LAVALLEJA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;129;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;285 VELASCO RAMIREZ DE JUAN
-58.428781060593565;-34.61506434661996;HIPOLITO YRIGOYEN;HIPOLITO YRIGOYEN ENTRE MUÑIZ Y LA PLATA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;167;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;YRIGOYEN HIPOLITO AV Y LA PLATA AV
-58.421044153603816;-34.585424221549481;ARMENIA;ARMENIA 2393 Y CHARCAS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;123;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2393 ARMENIA
-58.412313560298372;-34.581081606687128;UGARTECHE;UGARTECHE ENTRE CABELLO Y LAS HERAS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;124;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;UGARTECHE Y CABELLO
-58.413150468691505;-34.633308984809204;VIRREY LINIERS;SALCEDO 3401 Y VIRREY LINIERS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;139;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3401 SALCEDO
-58.415775044145761;-34.635148035031023;LAS CASAS;LAS CASAS 3587 ENTRE AV. BOEDO Y ALZAGA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;140;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3587 LAS CASAS
-58.360933146169877;-34.634072090731728;PINZON;PINZON 469 Y MARTIN RODRIGUEZ;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;176;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;469 PINZON
